Virovitičko-podravska,I.
Brodsko-posavska,I.
Vukovarsko-srijemska,I.
Bjelovarsko-bilogorska,I.
Požeško-slavonska,I.
Sisačko-moslavačka,I.
Osječko-baranjska,I.
Karlovačka,I.
Koprivničko-križevačka,I.
Ličko-senjska,I.
Međimurska,I.
Krapinsko-zagorska,I.
Šibensko-kninska,II.
Varaždinska,II.
Splitsko-dalmatinska,II.
Zadarska,III.
Dubrovačko-neretvanska,III.
Zagrebačka,III.
Primorsko-goranska,IV.
Istarska,IV.
Grad Zagreb,IV.
